year,id,ndvi
2004,1617,4934.271739
2004,2381,4068.975579
2004,2387,3944.020498
2004,2538,2871.011464
2004,2667,3086.522899
2004,3018,5171.274934
2004,3399,4401.561098
2004,3614,3701.020028
2004,3775,4224.85839
2004,3820,3211.241146
2004,4508,1885.653416
2004,4867,3824.399647
2004,4908,3463.391086
2004,5492,5126.867573
2004,6125,4858.878879
2004,8272,2174.877134
2004,9767,3975.567912
2004,9798,1804.606355
2004,10656,3249.03511
2004,11124,4861.561582
2004,12446,3381.914752
2004,12457,3291.519471
2004,12570,1923.614508
2004,13782,4837.082248
2004,14512,3963.308521
2004,14550,4695.330969
2004,14683,4997.984806
2004,15085,2490.964335
2004,15616,2113.710958
2004,16485,3757.766574
2004,16833,2570.155902
2004,18541,1843.137248
2004,18542,2185.968932
2004,18585,1993.267483
2004,18815,2685.786231
2004,18861,2587.69482
2004,19004,2691.41608
2004,19326,3200.677347
2004,20593,2670.172705
2004,22224,3528.995047
2004,23007,3922.717344
2004,23460,2387.483376
2005,162,2791.824705
2005,509,1986.458089
2005,801,2859.816206
2005,843,3847.324298
2005,899,4230.746285
2005,955,2155.011181
2005,1079,2014.765447
2005,1436,3159.8437
2005,1617,5150.165624
2005,2381,3999.42817
2005,2387,3930.477537
2005,2538,2801.252217
2005,2667,3271.115169
2005,3018,5396.05269
2005,3399,4260.085739
2005,3614,3872.770499
2005,3775,4506.146018
2005,3820,3191.211933
2005,4508,1977.437992
2005,4867,4011.8175
2005,4908,3736.163824
2005,5492,5324.541775
2005,6125,4740.668619
2005,8272,2255.375697
2005,9767,3717.591339
2005,9798,1921.630527
2005,10656,3327.27157
2005,11124,5005.012186
2005,12446,3532.235907
2005,12457,3288.046285
2005,12570,1898.891886
2005,13782,4839.318788
2005,14512,4147.220293
2005,14550,4647.788418
2005,14683,4994.440781
2005,15085,2634.994036
2005,15616,2238.914926
2005,16485,4035.179772
2005,16833,2660.871094
2005,18541,1729.742602
2005,18542,2071.069763
2005,18585,2082.546903
2005,18815,2656.506105
2005,18861,2755.040306
2005,19004,3248.026093
2005,19326,3253.776901
2005,20593,2819.198973
2005,22224,3574.569345
2005,23007,4127.10523
2005,23460,2908.209267
2006,162,2511.935059
2006,509,2222.293674
2006,801,2673.889529
2006,843,3774.254731
2006,899,3138.39002
2006,955,1682.775215
2006,1079,1863.446798
2006,1436,3439.519272
2006,1617,5154.640309
2006,2381,3814.009461
2006,2387,3674.918014
2006,2538,2403.007949
2006,2667,2988.417971
2006,3018,5531.392325
2006,3399,4050.901704
2006,3614,3870.610677
2006,3775,4644.518901
2006,3820,3173.589565
2006,4508,1867.757533
2006,4867,4147.162312
2006,4908,3987.646074
2006,5492,4910.603446
2006,6125,4843.435066
2006,8272,2078.160887
2006,9767,3898.43988
2006,9798,1828.855556
2006,10656,3246.866836
2006,11124,5184.14543
2006,12446,3709.551083
2006,12457,3108.448727
2006,12570,1896.778889
2006,13782,4803.205933
2006,14512,4179.459241
2006,14550,5065.100967
2006,14683,5247.199111
2006,15085,2399.993261
2006,15616,1949.452851
2006,16485,3574.583621
2006,16833,2750.155601
2006,18541,1603.577132
2006,18542,2011.413239
2006,18585,1946.425408
2006,18815,2605.689342
2006,18861,2875.367631
2006,19004,2779.822636
2006,19326,3317.690805
2006,20593,2478.519626
2006,22224,3055.141717
2006,23007,4274.669168
2006,23460,2597.005115
2007,162,2508.206786
2007,509,2307.014199
2007,801,2827.724115
2007,843,4127.50009
2007,899,3478.96441
2007,955,1793.656247
2007,1079,2257.851246
2007,1436,3291.432208
2007,1617,5019.530588
2007,2381,4024.843895
2007,2387,4005.831044
2007,2538,2268.634412
2007,2667,2930.825121
2007,3018,5081.094656
2007,3399,4065.888022
2007,3614,4102.118344
2007,3775,4693.876
2007,3820,2818.151015
2007,4508,2211.966586
2007,4867,4144.65775
2007,4908,3897.546946
2007,5492,4801.61656
